Day,A (Male),B (Male),C (Female),D (Female),E (Female)
0,99.9,86.9,84.1,83.9,802
1,110.4,99.6,94.1,92.3,900
2,123.5,111.1,108.1,104.7,1030
3,137.6,116.9,116.2,115.6,1139
4,147.6,126.9,126.2,125.6,1239
5,173.1,149.2,146.5,146.5,1455
6,182.5,157.6,154.3,153.7,1516
7,200,170.2,165.5,165.1,1629
8,214.5,184,177.3,173.8,1734
9,226.4,190.2,184.1,182.3,1800
10,237.2,203.4,196.8,193,1934
11,254.5,205.8,208.1,200.3,2055
12,269.2,216.3,218.7,208.2,2099
13,279.1,232.6,232.2,224.6,2199
14,294.7,238.8,242,235.1,2313
15,303.5,254.3,261.3,241.1,2370
16,317.5,267.1,269.1,251.2,2500
17,329.8,277.3,282.8,265.1,2644
18,343.8,294.3,291.3,272,2719
